title,view_num,danmu,upload_time,up_author,video_url
海珠四十年街坊粤菜，为了这道经典炸大肠愿意专门来吃，肥肠爱好者尤其推荐试试,10.8万,,2022/5/1,毛毛美食指南,www.bilibili.com/video/BV1hu411C7HZ?from=search
【梅菜扣肉】粤菜经典，肥而不腻 入口即化,5.8万,,2023/8/21,厨房仔小李,www.bilibili.com/video/BV1pp4y1K71N?from=search
大厨分享一道经典粤菜-“桂花炒翅”，色泽金黄干香扑鼻，收藏了,10.3万,,2019/5/18,主厨农国栋,www.bilibili.com/video/BV1B441177ou?from=search
万万没想到！广东十大名菜竟是这些！堪称人间美味！粤菜经典！来广东必吃美食！吃货们千万不要错过！快来看看有你吃过的几种粤菜？另附广东十大经典名菜排行榜完整榜单！,2550,,2023/6/26,子弹头计划,www.bilibili.com/video/BV1uu411h7rp?from=search
【品城记】过桥石斑鱼、干逼小青龙、“糖心”乳鸽……能把粤菜做到既有创意又味道超群，就问你服不服？,18.8万,,2021/5/25,品城记本地版,www.bilibili.com/video/BV1cA41137wY?from=search
高质量的地道传统粤菜是怎么样的？花都这家老牌粤菜酒楼吃到了原汁原味的正统粤菜,18.4万,,2021/8/7,毛毛美食指南,www.bilibili.com/video/BV1Bf4y1V7jJ?from=search
这该死的老牌街坊粤菜，真的令我欲罢不能，太好吃啦,3.9万,,2023/7/4,大兵探店,www.bilibili.com/video/BV1kP411e79U?from=search
非常美味一道粤菜豆腐火腩，外焦里嫩，再来点汤汁捞饭，正啊！,29.2万,,2021/9/29,主厨农国栋,www.bilibili.com/video/BV1KP4y187cD?from=search
这个酸甜开胃的经典粤菜有人吃过吗？乐哥担保不翻车！夏天快到了，在家学起来！,19.2万,,2022/4/8,厨师徐嘉乐,www.bilibili.com/video/BV1X44y1V7Bw?from=search
【品城记】让大秋吃平靓正的街坊饭堂，合适吗？不过这家传闻白云区很火的粤菜馆确实抵食！,18.7万,,2022/8/27,品城记本地版,www.bilibili.com/video/BV1RV4y1W7mf?from=search
大厨教你做粤菜名点-糯米鸡，入口软糯鲜甜，108道吃鸡做法第五期,29.9万,,2019/6/22,主厨农国栋,www.bilibili.com/video/BV1g4411u7re?from=search
粤菜酒店爆款菜“啫啫猪肝煲“，10分钟完成，鲜嫩爽滑香一锅全有,23.0万,,2019/8/7,主厨农国栋,www.bilibili.com/video/BV1et411T7ew?from=search
似鸡不是鸡，江南百花鸡，致敬即将失传的百年经典粤菜,17.7万,,2023/4/27,厨师徐嘉乐,www.bilibili.com/video/BV1dV4y1o7CW?from=search
佛山百年历史粤菜酒楼，菜价极其亲民饭点街坊满坐，出品整体还行性价比很高,8.5万,,2022/7/3,毛毛美食指南,www.bilibili.com/video/BV1KU4y1D7s1?from=search
